part_number,name,spec_frequency,name_contains_part_number,url
ECS-2520MV-500-CN-TR,ECS Inc. XTAL OSC XO 50.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-500-CN-TR
CB3LV-3C-16M000000,CTS-Frequency Controls XTAL OSC XO 16.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-16M000000
ECS-2520MVLC-250-BN-TR,ECS Inc. XTAL OSC XO 25MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MVLC-250-BN-TR
ASE-14.7456MHZ-L-C-T,Abracon LLC XTAL OSC XO 14.7456MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-14.7456MHZ-L-C-T
ECS-2520MVLC-100-BN-TR,ECS Inc. XTAL OSC XO 10MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MVLC-100-BN-TR
632L3I024M00000,CTS-Frequency Controls XTAL OSC XO 24.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/632L3I024M00000
OM-7604-C7-32.768KHZ-20PPM-TA-QC,Micro Crystal AG OSC XO 32.7680KHZ SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/OM-7604-C7-32.768KHZ-20PPM-TA-QC
CB3LV-3C-10M000000,CTS-Frequency Controls XTAL OSC XO 10.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-10M000000
CB3LV-3I-50M000000,CTS-Frequency Controls XTAL OSC XO 50.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-50M000000
ECS-327MVATX-7-CN-TR,ECS Inc. XTAL OSC XO 32.7680KHZ SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327MVATX-7-CN-TR
ASE-24.000MHZ-L-R-T,Abracon LLC XTAL OSC XO 24.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-24.000MHZ-L-R-T
ASE-50.000MHZ-L-R-T,Abracon LLC XTAL OSC XO 50.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-50.000MHZ-L-R-T
NSC5136D-32.768K,"NDK (NIHON DEMPA KOGYO CO., LTD) XTAL OSC XO 32.7680KHZ CMOS SMD",,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/NSC5136D-32.768K
CB3LV-3C-30M000000,CTS-Frequency Controls XTAL OSC XO 30.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-30M000000
ASE-10.000MHZ-L-C-T,Abracon LLC XTAL OSC XO 10.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-10.000MHZ-L-C-T
CB3LV-3C-8M000000,CTS-Frequency Controls XTAL OSC XO 8.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-8M000000
CB3-3C-10M000000,CTS-Frequency Controls XTAL OSC XO 10.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3C-10M000000
CB3-3C-16M000000,CTS-Frequency Controls XTAL OSC XO 16.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3C-16M000000
ASE-12.000MHZ-L-C-T,Abracon LLC XTAL OSC XO 12.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-12.000MHZ-L-C-T
KC2016K25.0000C1GE00,KYOCERA AVX XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/KC2016K25.0000C1GE00
KC2016K80.0000C1GE00,KYOCERA AVX XTAL OSC XO 80.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/KC2016K80.0000C1GE00
KC2016K24.0000C1GE00,KYOCERA AVX XTAL OSC XO 24.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/KC2016K24.0000C1GE00
ASV-25.000MHZ-EJ-T,Abracon LLC XTAL OSC XO 25.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASV-25.000MHZ-EJ-T
ASV-10.000MHZ-EJ-T,Abracon LLC XTAL OSC XO 10.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASV-10.000MHZ-EJ-T
ECS-2520MVLC-160-BN-TR,ECS Inc. XTAL OSC XO 16MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MVLC-160-BN-TR
ASE-33.333MHZ-L-C-T,Abracon LLC XTAL OSC XO 33.3330MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-33.333MHZ-L-C-T
CB3LV-3I-10M000000,CTS-Frequency Controls XTAL OSC XO 10.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-10M000000
632L3I025M00000,CTS-Frequency Controls XTAL OSC XO 25.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/632L3I025M00000
CB3LV-3C-18M432000,CTS-Frequency Controls XTAL OSC XO 18.4320MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-18M432000
CB3LV-5I-25M000000,CTS-Frequency Controls XTAL OSC XO 25.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-5I-25M000000
CB3LV-3I-12M000000,CTS-Frequency Controls XTAL OSC XO 12.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-12M000000
CB3LV-5I-20M000000,CTS-Frequency Controls XTAL OSC XO 20.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-5I-20M000000
CB3LV-3I-40M000000,CTS-Frequency Controls XTAL OSC XO 40.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-40M000000
CB3LV-3I-20M000000,CTS-Frequency Controls XTAL OSC XO 20.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-20M000000
ECS-2033-080-AU,ECS Inc. XTAL OSC XO 8.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-080-AU
ECS-3963-500-BN-TR,ECS Inc. XTAL OSC XO 50.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3963-500-BN-TR
ECS-327ATQMV-AS-TR,ECS Inc. XTAL OSC XO 32.7680KHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327ATQMV-AS-TR
LFSPXO025165,IQD Frequency Products XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/LFSPXO025165
ECS-3963-250-BN-TR,ECS Inc. XTAL OSC XO 25.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3963-250-BN-TR
ECS-3225MVQ-1000-CN-TR,ECS Inc. XTAL OSC XO 100.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MVQ-1000-CN-TR
ASE-20.000MHZ-L-C-T,Abracon LLC XTAL OSC XO 20.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-20.000MHZ-L-C-T
CB3LV-3I-24M000000,CTS-Frequency Controls XTAL OSC XO 24.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-24M000000
ECS-3963-480-BN-TR,ECS Inc. XTAL OSC XO 48.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3963-480-BN-TR
MC2520Z25.0000C19XSH,KYOCERA AVX XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MC2520Z25.0000C19XSH
MC2520Z12.0000C19XSH,KYOCERA AVX XTAL OSC XO 12.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MC2520Z12.0000C19XSH
MC2016Z25.0000C19XSH,KYOCERA AVX XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MC2016Z25.0000C19XSH
MC2016Z24.0000C19XSH,KYOCERA AVX XTAL OSC XO 24.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MC2016Z24.0000C19XSH
MC2520Z33.3333C19XSH,KYOCERA AVX XTAL OSC XO 33.3333MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MC2520Z33.3333C19XSH
MC2016Z20.0000C19XSH,KYOCERA AVX XTAL OSC XO 20.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MC2016Z20.0000C19XSH
ASAK-32.768KHZ-LRS-T,Abracon LLC XTAL OSC XO 32.7680KHZ LVCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASAK-32.768KHZ-LRS-T
ECS-3225MVQ-1250-CN-TR,ECS Inc. XTAL OSC XO 125.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MVQ-1250-CN-TR
636L3C025M00000,CTS-Frequency Controls XTAL OSC XO 25.0000MHZ HCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/636L3C025M00000
ECS-3953M-500-B-TR,ECS Inc. XTAL OSC XO 50.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-500-B-TR
LFSPXO072801,IQD Frequency Products XTAL OSC XO 8.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/LFSPXO072801
CB3-3C-4M000000,CTS-Frequency Controls XTAL OSC XO 4.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3C-4M000000
ECS-3953M-400-BN-TR,ECS Inc. XTAL OSC XO 40.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-400-BN-TR
ASDK-32.768KHZ-LRT,Abracon LLC XTAL OSC XO 32.7680KHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASDK-32.768KHZ-LRT
CB3LV-3I-66M000000,CTS-Frequency Controls XTAL OSC XO 66.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-66M000000
ECS-3961-160-AU-TR,ECS Inc. XTAL OSC XO 16.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3961-160-AU-TR
636L3C024M00000,CTS-Frequency Controls XTAL OSC XO 24.0000MHZ HCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/636L3C024M00000
CB3-3C-20M000000,CTS-Frequency Controls XTAL OSC XO 20.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3C-20M000000
TC25L5I32K7680,CTS-Frequency Controls XTAL OSC XO 32.7680KHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/TC25L5I32K7680
625L3C040M00000,CTS-Frequency Controls XTAL OSC XO 40.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/625L3C040M00000
831055678,Würth Elektronik XTAL OSC XO 25.0000MHZ CMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/831055678
ECS-3953M-500-BN-TR,ECS Inc. XTAL OSC XO 50.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-500-BN-TR
CB3LV-3I-64M000000,CTS-Frequency Controls XTAL OSC XO 64.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-64M000000
ASV-50.000MHZ-EJ-T,Abracon LLC XTAL OSC XO 50.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASV-50.000MHZ-EJ-T
ECS-2520MVLC-600-BN-TR,ECS Inc. XTAL OSC XO 60.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MVLC-600-BN-TR
ECS-3951M-040-BN-TR,ECS Inc. XTAL OSC XO 4.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3951M-040-BN-TR
ECS-2016MV-250-CN-TR,ECS Inc. XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2016MV-250-CN-TR
ECS-TXO-20CSMV4-320-AY-TR,ECS Inc. XTAL OSC TCXO 32.0000MHZ CLPSW,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-20CSMV4-320-AY-TR
ECS-TXO-20CSMV4-260-AN-TR,ECS Inc. XTAL OSC TCXO 26.0000MHZ CLPSW,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-20CSMV4-260-AN-TR
ECS-1612MV-240-CN-TR,ECS Inc. XTAL OSC XO 24.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-1612MV-240-CN-TR
ECS-2033-200-AU,ECS Inc. XTAL OSC XO 20.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-200-AU
7XZ-32.768KBE-T,TXC CORPORATION XTAL OSC XO 32.7680KHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/7XZ-32.768KBE-T
ECS-2016MVQ-240-BS-TR,ECS Inc. OSC XO 24MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2016MVQ-240-BS-TR
ECS-2018-250-BN,ECS Inc. XTAL OSC XO 25.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2018-250-BN
ECS-1612MV-250-CN-TR,ECS Inc. XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-1612MV-250-CN-TR
ECS-1612MV-192-CN-TR,ECS Inc. XTAL OSC XO 19.2000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-1612MV-192-CN-TR
ECS-3953M-480-B-TR,ECS Inc. XTAL OSC XO 48.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-480-B-TR
ECS-1612MV-500-CN-TR,ECS Inc. XTAL OSC XO 50.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-1612MV-500-CN-TR
ECS-3953M-100-AU-TR,ECS Inc. XTAL OSC XO 10.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-100-AU-TR
OV-7604-C7-32.768KHZ-20PPM-TA-QC,Micro Crystal AG XTAL OSC XO 32.7680KHZ SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/OV-7604-C7-32.768KHZ-20PPM-TA-QC
ECS-2016MVQ-250-BS-TR,ECS Inc. OSC XO 25MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2016MVQ-250-BS-TR
ASFL1-25.000MHZ-L-T,Abracon LLC XTAL OSC XO 25.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASFL1-25.000MHZ-L-T
ECS-3953M-250-BN-TR,ECS Inc. XTAL OSC XO 25.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-250-BN-TR
ECS-3518-500-B-TR,ECS Inc. XTAL OSC XO 50.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3518-500-B-TR
LFSPXO019987,IQD Frequency Products XTAL OSC XO 50.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/LFSPXO019987
LFSPXO018044,IQD Frequency Products XTAL OSC XO 50.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/LFSPXO018044
LFSPXO018042,IQD Frequency Products XTAL OSC XO 40.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/LFSPXO018042
ASE-7.3728MHZ-L-C-T,Abracon LLC XTAL OSC XO 7.3728MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-7.3728MHZ-L-C-T
CB3LV-3C-80M000000,CTS-Frequency Controls XTAL OSC XO 80.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-80M000000
ASEK-32.768KHZ-L-R-T,Abracon LLC XTAL OSC XO 32.7680KHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASEK-32.768KHZ-L-R-T
LFSPXO073707,IQD Frequency Products XTAL OSC XO 32.7680KHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/LFSPXO073707
ASEAIG-16.000MHZ-C-S-T,Abracon LLC OSC XO 16.000MHZ 3.3V CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASEAIG-16.000MHZ-C-S-T
ECS-1612MV-080-CN-TR,ECS Inc. XTAL OSC XO 8.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-1612MV-080-CN-TR
ASFL1-24.000MHZ-EC-T,Abracon LLC XTAL OSC XO 24.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASFL1-24.000MHZ-EC-T
ECS-3961-200-AU-TR,ECS Inc. XTAL OSC XO 20.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3961-200-AU-TR
ASFL1-25.000MHZ-EC-T,Abracon LLC XTAL OSC XO 25.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASFL1-25.000MHZ-EC-T
ECS-3953M-240-BN-TR,ECS Inc. XTAL OSC XO 24.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-240-BN-TR
ECS-TXO-20CSMV-320-EY-TR,ECS Inc. XTAL OSC TCXO 32.0000MHZ CLP SNW,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-20CSMV-320-EY-TR
ECS-3953M-100-BN-TR,ECS Inc. XTAL OSC XO 10.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-100-BN-TR
END4263D-32M,"NDK (NIHON DEMPA KOGYO CO., LTD) XTAL OSC TCXO 32.0000MHZ SMD",,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/END4263D-32M
ASFL1-8.000MHZ-EC-T,Abracon LLC XTAL OSC XO 8.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASFL1-8.000MHZ-EC-T
ECS-327MV-CN-TR,ECS Inc. XTAL OSC XO 32.7680KHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327MV-CN-TR
ECS-3953M-200-BN-TR,ECS Inc. XTAL OSC XO 20.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3953M-200-BN-TR
ECS-TXO-25CSMV-320-DY-TR,ECS Inc. XTAL OSC TCXO 32.0000MHZ CLPSNW,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-25CSMV-320-DY-TR
ECS-3963-160-AU-TR,ECS Inc. XTAL OSC XO 16.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3963-160-AU-TR
ECS-3961-040-AU-TR,ECS Inc. XTAL OSC XO 4.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3961-040-AU-TR
ASDK2-32.768KHZ-LR-T3,Abracon LLC XTAL OSC XO 32.7680KHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASDK2-32.768KHZ-LR-T3
OV-7604-C7-32.768KHZ-20PPM-TB-QA,Micro Crystal AG XTAL OSC XO 32.7680KHZ SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/OV-7604-C7-32.768KHZ-20PPM-TB-QA
ECS-TXO-2016-33-250-TR,ECS Inc. XTAL OSC TCXO 25MHZ 3.3V SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-2016-33-250-TR
CSX-750FBC8000000T,Citizen Finedevice Co Ltd XTAL OSC XO 8.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CSX-750FBC8000000T
CSX-750FCC10000000T,Citizen Finedevice Co Ltd XTAL OSC XO 10.0000MHZ CMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CSX-750FCC10000000T
CSX-750FBC12000000T,Citizen Finedevice Co Ltd XTAL OSC XO 12.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CSX-750FBC12000000T
CSX-750FBC25000000T,Citizen Finedevice Co Ltd XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CSX-750FBC25000000T
ECS-TXO-2520MV-500-AN-TR,ECS Inc. XTAL OSC TCXO 50MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-2520MV-500-AN-TR
ECS-TXO-2520MV-120-AN-TR,ECS Inc. XTAL OSC TCXO 12MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-2520MV-120-AN-TR
ASV-125.000MHZ-EC-T,Abracon LLC XTAL OSC XO 125.0000MHZ HCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASV-125.000MHZ-EC-T
ECS-3963-250-AU-TR,ECS Inc. XTAL OSC XO 25.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3963-250-AU-TR
ECS-TXO-32CSMV-400-BN-TR,ECS Inc. XTAL OSC TCXO 40.0000MHZ CLPSNW,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-32CSMV-400-BN-TR
ECS-TXO-25CSMV-320-BM-TR,ECS Inc. XTAL OSC TCXO 32MHZ CLPSNW SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-25CSMV-320-BM-TR
ECS-TXO-3225MV-122.8-TR,ECS Inc. XTAL OSC TCXO 12.288MHZ HCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-3225MV-122.8-TR
ECS-327KE-TR,ECS Inc. XTAL OSC XO 32.7680KHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327KE-TR
ECS-TXO-2016-33-320-TR,ECS Inc. XTAL OSC TCXO 32MHZ 3.3V SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-2016-33-320-TR
ECS-2520S33-160-FN-TR,ECS Inc. XTAL OSC XO 16.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520S33-160-FN-TR
ECS-2520S33-240-FN-TR,ECS Inc. XTAL OSC XO 24.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520S33-240-FN-TR
ECS-2520SMV-080-FN-TR,ECS Inc. XTAL OSC XO 8MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520SMV-080-FN-TR
ECS-2520S33-500-FN-TR,ECS Inc. XTAL OSC XO 50.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520S33-500-FN-TR
ECS-2520S33-250-EN-TR,ECS Inc. XTAL OSC XO 25.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520S33-250-EN-TR
ECS-2520S33-120-FN-TR,ECS Inc. XTAL OSC XO 12.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520S33-120-FN-TR
ECS-TXO-2016MV-500-TR,ECS Inc. XTAL OSC TCXO 50 MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-2016MV-500-TR
ECS-TXO-2016MV-200-TR,ECS Inc. XTAL OSC TCXO 20 MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-2016MV-200-TR
TXEABLSANF-24.000000,Taitien XTAL OSC VCTCXO 24.0000MHZ SNWV,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/TXEABLSANF-24.000000
ECS-TXO-2016-33-500-TR,ECS Inc. XTAL OSC TCXO 50MHZ 3.3V SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-2016-33-500-TR
ECS-TXO-2520-33-320-AN-TR,ECS Inc. XTAL OSC TCXO 32.0000MHZ HCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-2520-33-320-AN-TR
ASCO2-24.000MHZ-EK-T3,Abracon LLC XTAL OSC XO 24.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASCO2-24.000MHZ-EK-T3
ASCO-25.000MHZ-EK-T3,Abracon LLC XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASCO-25.000MHZ-EK-T3
MC2016K24.0000C16ESH,KYOCERA AVX XTAL OSC XO 24.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MC2016K24.0000C16ESH
ASCO-24.000MHZ-EK-T3,Abracon LLC XTAL OSC XO 24.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASCO-24.000MHZ-EK-T3
ASCO-8.000MHZ-EK-T3,Abracon LLC XTAL OSC XO 8.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASCO-8.000MHZ-EK-T3
